id;porcentagem;data;componente
1;2.5;22/10/2023 15:27;cpu
2;38.9;22/10/2023 15:27;disco
3;67.4;22/10/2023 15:27;ram
4;2.5;22/10/2023 15:27;cpu
5;38.9;22/10/2023 15:27;disco
6;67.3;22/10/2023 15:27;ram
7;4.3;22/10/2023 15:27;cpu
8;38.9;22/10/2023 15:27;disco
9;67.3;22/10/2023 15:27;ram
10;7.5;22/10/2023 15:28;cpu
11;38.9;22/10/2023 15:28;disco
12;67.3;22/10/2023 15:28;ram
13;7.2;22/10/2023 15:28;cpu
14;38.9;22/10/2023 15:28;disco
15;68.1;22/10/2023 15:28;ram
16;7.6;22/10/2023 15:28;cpu
17;38.9;22/10/2023 15:28;disco
18;68.2;22/10/2023 15:28;ram
19;5.5;22/10/2023 15:28;cpu
20;38.9;22/10/2023 15:28;disco
21;68.1;22/10/2023 15:28;ram
22;5.2;22/10/2023 15:28;cpu
23;38.9;22/10/2023 15:28;disco
24;68.2;22/10/2023 15:28;ram
25;6.3;22/10/2023 15:28;cpu
26;38.9;22/10/2023 15:28;disco
27;68.2;22/10/2023 15:28;ram
28;5.7;22/10/2023 15:28;cpu
29;38.9;22/10/2023 15:28;disco
30;68.1;22/10/2023 15:28;ram
31;6.7;22/10/2023 15:28;cpu
32;38.9;22/10/2023 15:28;disco
33;68.0;22/10/2023 15:28;ram
34;6.0;22/10/2023 15:28;cpu
35;38.9;22/10/2023 15:28;disco
36;67.8;22/10/2023 15:28;ram
37;49.5;22/10/2023 15:28;cpu
38;38.9;22/10/2023 15:28;disco
39;67.4;22/10/2023 15:28;ram
40;9.0;22/10/2023 15:28;cpu
41;38.9;22/10/2023 15:28;disco
42;67.5;22/10/2023 15:28;ram
43;6.8;22/10/2023 15:28;cpu
44;38.9;22/10/2023 15:28;disco
45;67.5;22/10/2023 15:28;ram
46;4.0;22/10/2023 15:28;cpu
47;38.9;22/10/2023 15:28;disco
48;67.1;22/10/2023 15:28;ram
49;3.0;22/10/2023 15:28;cpu
50;38.9;22/10/2023 15:28;disco
51;66.7;22/10/2023 15:28;ram
52;1.6;22/10/2023 15:28;cpu
53;38.9;22/10/2023 15:28;disco
54;66.7;22/10/2023 15:28;ram
55;2.9;22/10/2023 15:28;cpu
56;38.9;22/10/2023 15:28;disco
57;66.7;22/10/2023 15:28;ram
58;2.1;22/10/2023 15:28;cpu
59;38.9;22/10/2023 15:28;disco
60;66.7;22/10/2023 15:28;ram
61;3.1;22/10/2023 15:28;cpu
62;38.9;22/10/2023 15:28;disco
63;66.7;22/10/2023 15:28;ram
64;2.5;22/10/2023 15:28;cpu
65;38.9;22/10/2023 15:28;disco
66;66.7;22/10/2023 15:28;ram
67;3.8;22/10/2023 15:28;cpu
68;38.9;22/10/2023 15:28;disco
69;66.7;22/10/2023 15:28;ram
70;2.8;22/10/2023 15:28;cpu
71;38.9;22/10/2023 15:28;disco
72;66.7;22/10/2023 15:28;ram
73;2.3;22/10/2023 15:28;cpu
74;38.9;22/10/2023 15:28;disco
75;66.7;22/10/2023 15:28;ram
76;1.6;22/10/2023 15:28;cpu
77;38.9;22/10/2023 15:28;disco
78;66.7;22/10/2023 15:28;ram
79;2.8;22/10/2023 15:28;cpu
80;38.9;22/10/2023 15:28;disco
81;66.7;22/10/2023 15:28;ram
82;2.5;22/10/2023 15:28;cpu
83;38.9;22/10/2023 15:28;disco
84;66.7;22/10/2023 15:28;ram
85;2.7;22/10/2023 15:28;cpu
86;38.9;22/10/2023 15:28;disco
87;66.7;22/10/2023 15:28;ram
88;2.4;22/10/2023 15:28;cpu
89;38.9;22/10/2023 15:28;disco
90;66.7;22/10/2023 15:28;ram
91;2.5;22/10/2023 15:28;cpu
92;38.9;22/10/2023 15:28;disco
93;66.6;22/10/2023 15:28;ram
94;2.7;22/10/2023 15:28;cpu
95;38.9;22/10/2023 15:28;disco
96;66.6;22/10/2023 15:28;ram
97;3.5;22/10/2023 15:28;cpu
98;38.9;22/10/2023 15:28;disco
99;66.0;22/10/2023 15:28;ram
100;3.0;22/10/2023 15:28;cpu
101;38.9;22/10/2023 15:28;disco
102;66.0;22/10/2023 15:28;ram
103;3.4;22/10/2023 15:28;cpu
104;38.9;22/10/2023 15:28;disco
105;66.0;22/10/2023 15:28;ram
106;3.3;22/10/2023 15:28;cpu
107;38.9;22/10/2023 15:28;disco
108;66.1;22/10/2023 15:28;ram
109;2.7;22/10/2023 15:28;cpu
110;38.9;22/10/2023 15:28;disco
111;66.1;22/10/2023 15:28;ram
112;4.4;22/10/2023 15:28;cpu
113;38.9;22/10/2023 15:28;disco
114;66.1;22/10/2023 15:28;ram
115;2.8;22/10/2023 15:28;cpu
116;38.9;22/10/2023 15:28;disco
117;66.0;22/10/2023 15:28;ram
118;3.7;22/10/2023 15:28;cpu
119;38.9;22/10/2023 15:28;disco
120;66.0;22/10/2023 15:28;ram
121;3.5;22/10/2023 15:28;cpu
122;38.9;22/10/2023 15:28;disco
123;66.0;22/10/2023 15:28;ram
124;3.0;22/10/2023 15:28;cpu
125;38.9;22/10/2023 15:28;disco
126;66.0;22/10/2023 15:28;ram
127;4.0;22/10/2023 15:28;cpu
128;38.9;22/10/2023 15:28;disco
129;66.0;22/10/2023 15:28;ram
130;2.7;22/10/2023 15:28;cpu
131;38.9;22/10/2023 15:28;disco
132;66.0;22/10/2023 15:28;ram
133;4.3;22/10/2023 15:28;cpu
134;38.9;22/10/2023 15:28;disco
135;65.7;22/10/2023 15:28;ram
136;3.3;22/10/2023 15:28;cpu
137;38.9;22/10/2023 15:28;disco
138;65.6;22/10/2023 15:28;ram
139;4.8;22/10/2023 15:28;cpu
140;38.9;22/10/2023 15:28;disco
141;65.5;22/10/2023 15:28;ram
142;6.0;22/10/2023 15:28;cpu
143;38.9;22/10/2023 15:28;disco
144;65.7;22/10/2023 15:28;ram
145;1.8;22/10/2023 15:28;cpu
146;38.9;22/10/2023 15:28;disco
147;65.7;22/10/2023 15:28;ram
148;4.7;22/10/2023 15:28;cpu
149;38.9;22/10/2023 15:28;disco
150;65.7;22/10/2023 15:28;ram
151;2.3;22/10/2023 15:28;cpu
152;38.9;22/10/2023 15:28;disco
153;65.7;22/10/2023 15:28;ram
154;2.8;22/10/2023 15:28;cpu
155;38.9;22/10/2023 15:28;disco
156;65.8;22/10/2023 15:28;ram
157;3.5;22/10/2023 15:28;cpu
158;38.9;22/10/2023 15:28;disco
159;65.8;22/10/2023 15:28;ram
160;2.5;22/10/2023 15:28;cpu
161;38.9;22/10/2023 15:28;disco
162;65.9;22/10/2023 15:28;ram
163;1.8;22/10/2023 15:28;cpu
164;38.9;22/10/2023 15:28;disco
165;65.8;22/10/2023 15:28;ram
166;3.0;22/10/2023 15:28;cpu
167;38.9;22/10/2023 15:28;disco
168;65.8;22/10/2023 15:28;ram
169;4.5;22/10/2023 15:28;cpu
170;38.9;22/10/2023 15:28;disco
171;65.8;22/10/2023 15:28;ram
172;5.5;22/10/2023 15:28;cpu
173;38.9;22/10/2023 15:28;disco
174;65.8;22/10/2023 15:28;ram
175;3.0;22/10/2023 15:28;cpu
176;38.9;22/10/2023 15:28;disco
177;65.8;22/10/2023 15:28;ram
178;3.8;22/10/2023 15:28;cpu
179;38.9;22/10/2023 15:28;disco
180;65.8;22/10/2023 15:28;ram
181;4.5;22/10/2023 15:29;cpu
182;38.9;22/10/2023 15:29;disco
183;65.8;22/10/2023 15:29;ram
184;3.6;22/10/2023 15:29;cpu
185;38.9;22/10/2023 15:29;disco
186;65.9;22/10/2023 15:29;ram
187;2.5;22/10/2023 15:29;cpu
188;38.9;22/10/2023 15:29;disco
189;65.8;22/10/2023 15:29;ram
190;2.5;22/10/2023 15:29;cpu
191;38.9;22/10/2023 15:29;disco
192;65.8;22/10/2023 15:29;ram
193;4.0;22/10/2023 15:29;cpu
194;38.9;22/10/2023 15:29;disco
195;65.8;22/10/2023 15:29;ram
196;3.1;22/10/2023 15:29;cpu
197;38.9;22/10/2023 15:29;disco
198;65.7;22/10/2023 15:29;ram
199;3.3;22/10/2023 15:29;cpu
