"id";"fkOrigem";"dado";"dtHora"
100000;1;79.4;"2023-09-13 23:19:57"
100001;2;0.7;"2023-09-13 23:19:57"
100002;3;77.0;"2023-09-13 23:19:57"
100003;1;79.4;"2023-09-13 23:20:03"
100004;2;0.4;"2023-09-13 23:20:03"
100005;3;77.1;"2023-09-13 23:20:03"
100006;1;79.4;"2023-09-13 23:20:08"
100007;2;0.9;"2023-09-13 23:20:08"
100008;3;76.5;"2023-09-13 23:20:08"
100009;1;79.4;"2023-09-13 23:20:13"
100010;2;0.5;"2023-09-13 23:20:13"
100011;3;76.4;"2023-09-13 23:20:13"
100012;1;79.4;"2023-09-13 23:20:18"
100013;2;0.6;"2023-09-13 23:20:18"
100014;3;76.4;"2023-09-13 23:20:18"
100015;1;79.4;"2023-09-13 23:20:23"
100016;2;0.6;"2023-09-13 23:20:23"
100017;3;76.5;"2023-09-13 23:20:23"
100018;1;79.4;"2023-09-13 23:20:28"
100019;2;0.7;"2023-09-13 23:20:28"
100020;3;76.5;"2023-09-13 23:20:28"
100021;1;79.4;"2023-09-13 23:20:33"
100022;2;0.7;"2023-09-13 23:20:33"
100023;3;76.7;"2023-09-13 23:20:33"
100024;1;79.4;"2023-09-13 23:20:38"
100025;2;0.6;"2023-09-13 23:20:38"
100026;3;76.7;"2023-09-13 23:20:38"
100027;1;79.4;"2023-09-13 23:20:43"
100028;2;0.4;"2023-09-13 23:20:43"
100029;3;76.6;"2023-09-13 23:20:43"
100030;1;79.4;"2023-09-13 23:20:48"
100031;2;0.6;"2023-09-13 23:20:48"
100032;3;76.6;"2023-09-13 23:20:48"
100033;1;79.4;"2023-09-13 23:20:53"
100034;2;0.4;"2023-09-13 23:20:53"
100035;3;76.6;"2023-09-13 23:20:53"
100036;1;79.4;"2023-09-13 23:20:58"
100037;2;0.4;"2023-09-13 23:20:58"
100038;3;76.7;"2023-09-13 23:20:58"
100039;1;79.4;"2023-09-13 23:21:03"
100040;2;0.6;"2023-09-13 23:21:03"
100041;3;77.5;"2023-09-13 23:21:03"
100042;1;79.4;"2023-09-13 23:21:08"
100043;2;0.4;"2023-09-13 23:21:08"
100044;3;77.5;"2023-09-13 23:21:08"
100045;1;79.4;"2023-09-13 23:21:13"
100046;2;0.2;"2023-09-13 23:21:13"
100047;3;77.2;"2023-09-13 23:21:13"
100048;1;79.4;"2023-09-13 23:21:18"
100049;2;1.3;"2023-09-13 23:21:18"
100050;3;77.1;"2023-09-13 23:21:18"
100051;1;79.4;"2023-09-13 23:21:23"
100052;2;0.9;"2023-09-13 23:21:23"
100053;3;76.1;"2023-09-13 23:21:23"
100054;1;79.4;"2023-09-13 23:21:29"
100055;2;0.4;"2023-09-13 23:21:29"
100056;3;76.2;"2023-09-13 23:21:29"
100057;1;79.4;"2023-09-13 23:21:34"
100058;2;0.7;"2023-09-13 23:21:34"
100059;3;76.1;"2023-09-13 23:21:34"
100060;1;79.4;"2023-09-13 23:21:39"
100061;2;0.4;"2023-09-13 23:21:39"
100062;3;76.2;"2023-09-13 23:21:39"
100063;1;79.4;"2023-09-13 23:21:44"
100064;2;0.6;"2023-09-13 23:21:44"
100065;3;76.2;"2023-09-13 23:21:44"
100066;1;79.4;"2023-09-13 23:21:49"
100067;2;0.3;"2023-09-13 23:21:49"
100068;3;76.2;"2023-09-13 23:21:49"
100069;1;79.4;"2023-09-13 23:21:54"
100070;2;0.3;"2023-09-13 23:21:54"
100071;3;76.1;"2023-09-13 23:21:54"
100072;1;79.4;"2023-09-13 23:21:59"
100073;2;0.3;"2023-09-13 23:21:59"
100074;3;76.2;"2023-09-13 23:21:59"
100075;1;79.4;"2023-09-13 23:22:04"
100076;2;0.9;"2023-09-13 23:22:04"
100077;3;76.0;"2023-09-13 23:22:04"
100078;1;79.4;"2023-09-13 23:22:09"
100079;2;0.6;"2023-09-13 23:22:09"
100080;3;76.0;"2023-09-13 23:22:09"
100081;1;79.4;"2023-09-13 23:22:14"
100082;2;0.4;"2023-09-13 23:22:14"
100083;3;76.0;"2023-09-13 23:22:14"
100084;1;79.4;"2023-09-13 23:22:19"
100085;2;0.6;"2023-09-13 23:22:19"
100086;3;76.4;"2023-09-13 23:22:19"
100087;1;79.4;"2023-09-13 23:22:24"
100088;2;0.4;"2023-09-13 23:22:24"
100089;3;76.4;"2023-09-13 23:22:24"
100090;1;79.4;"2023-09-13 23:22:29"
100091;2;0.4;"2023-09-13 23:22:29"
100092;3;76.4;"2023-09-13 23:22:29"
100093;1;79.4;"2023-09-13 23:22:34"
100094;2;0.3;"2023-09-13 23:22:34"
100095;3;76.3;"2023-09-13 23:22:34"
100096;1;79.4;"2023-09-13 23:22:39"
100097;2;0.3;"2023-09-13 23:22:39"
100098;3;76.3;"2023-09-13 23:22:39"
100099;1;79.4;"2023-09-13 23:22:44"
100100;2;0.4;"2023-09-13 23:22:44"
100101;3;76.4;"2023-09-13 23:22:44"
100102;1;79.4;"2023-09-13 23:22:49"
100103;2;0.6;"2023-09-13 23:22:49"
100104;3;76.3;"2023-09-13 23:22:49"
100105;1;79.4;"2023-09-13 23:22:54"
100106;2;0.3;"2023-09-13 23:22:54"
100107;3;76.0;"2023-09-13 23:22:54"
100108;1;79.4;"2023-09-13 23:23:00"
100109;2;0.4;"2023-09-13 23:23:00"
100110;3;76.1;"2023-09-13 23:23:00"
100111;1;79.4;"2023-09-13 23:23:05"
100112;2;0.2;"2023-09-13 23:23:05"
100113;3;76.0;"2023-09-13 23:23:05"
100114;1;79.4;"2023-09-13 23:23:10"
100115;2;0.3;"2023-09-13 23:23:10"
100116;3;76.0;"2023-09-13 23:23:10"
100117;1;79.4;"2023-09-13 23:23:15"
100118;2;1.5;"2023-09-13 23:23:15"
100119;3;77.0;"2023-09-13 23:23:15"
100120;1;79.4;"2023-09-13 23:32:12"
100121;2;0.4;"2023-09-13 23:32:12"
100122;3;81.7;"2023-09-13 23:32:12"
100123;1;79.4;"2023-09-13 23:32:17"
100124;2;0.6;"2023-09-13 23:32:17"
100125;3;82.3;"2023-09-13 23:32:17"
100126;1;79.4;"2023-09-13 23:32:22"
100127;2;0.8;"2023-09-13 23:32:22"
100128;3;82.5;"2023-09-13 23:32:22"
100129;1;80.2;"2023-09-19 12:28:33"
100130;2;1.8;"2023-09-19 12:28:33"
100131;3;87.5;"2023-09-19 12:28:33"
100132;1;80.2;"2023-09-19 12:28:38"
100133;2;1.8;"2023-09-19 12:28:38"
100134;3;88.7;"2023-09-19 12:28:38"
100135;1;80.2;"2023-09-19 12:28:43"
100136;2;1.4;"2023-09-19 12:28:43"
100137;3;88.4;"2023-09-19 12:28:43"
100138;1;80.2;"2023-09-19 12:28:48"
100139;2;1.7;"2023-09-19 12:28:48"
100140;3;88.6;"2023-09-19 12:28:48"
100141;1;80.2;"2023-09-19 12:28:53"
100142;2;2.1;"2023-09-19 12:28:53"
100143;3;89.3;"2023-09-19 12:28:53"
100144;1;80.2;"2023-09-19 12:28:58"
100145;2;1.6;"2023-09-19 12:28:58"
100146;3;89.5;"2023-09-19 12:28:58"
100147;1;80.2;"2023-09-19 12:29:03"
100148;2;1.6;"2023-09-19 12:29:03"
100149;3;88.0;"2023-09-19 12:29:03"
100150;1;80.2;"2023-09-19 12:29:08"
100151;2;1.6;"2023-09-19 12:29:08"
100152;3;89.5;"2023-09-19 12:29:08"
100153;1;80.2;"2023-09-19 12:29:14"
100154;2;2.4;"2023-09-19 12:29:14"
100155;3;89.1;"2023-09-19 12:29:14"
100156;1;80.2;"2023-09-19 12:29:19"
100157;2;1.3;"2023-09-19 12:29:19"
100158;3;89.0;"2023-09-19 12:29:19"
100159;1;80.2;"2023-09-19 12:29:24"
100160;2;1.7;"2023-09-19 12:29:24"
100161;3;88.9;"2023-09-19 12:29:24"
100162;1;80.2;"2023-09-19 12:29:29"
100163;2;1.9;"2023-09-19 12:29:29"
100164;3;88.9;"2023-09-19 12:29:29"
100165;1;80.2;"2023-09-19 12:29:34"
100166;2;1.7;"2023-09-19 12:29:34"
100167;3;89.0;"2023-09-19 12:29:34"
100168;1;80.2;"2023-09-19 12:29:39"
100169;2;1.6;"2023-09-19 12:29:39"
100170;3;89.0;"2023-09-19 12:29:39"
100171;1;80.2;"2023-09-19 12:29:44"
100172;2;1.4;"2023-09-19 12:29:44"
100173;3;88.9;"2023-09-19 12:29:44"
100174;1;80.2;"2023-09-19 12:29:49"
100175;2;1.4;"2023-09-19 12:29:49"
100176;3;89.0;"2023-09-19 12:29:49"
100177;1;80.2;"2023-09-19 12:29:54"
100178;2;1.9;"2023-09-19 12:29:54"
100179;3;87.5;"2023-09-19 12:29:54"
100180;1;80.2;"2023-09-19 12:29:59"
100181;2;1.0;"2023-09-19 12:29:59"
100182;3;87.6;"2023-09-19 12:29:59"
100183;1;80.2;"2023-09-19 12:30:04"
100184;2;1.8;"2023-09-19 12:30:04"
100185;3;87.8;"2023-09-19 12:30:04"
100186;1;80.2;"2023-09-19 12:30:09"
100187;2;1.9;"2023-09-19 12:30:09"
100188;3;88.0;"2023-09-19 12:30:09"
100189;1;80.2;"2023-09-19 12:30:14"
100190;2;1.8;"2023-09-19 12:30:14"
100191;3;88.1;"2023-09-19 12:30:14"
100192;1;80.2;"2023-09-19 12:30:19"
100193;2;1.7;"2023-09-19 12:30:19"
100194;3;88.1;"2023-09-19 12:30:19"
100195;1;80.2;"2023-09-19 12:30:24"
100196;2;0.7;"2023-09-19 12:30:24"
100197;3;88.2;"2023-09-19 12:30:24"
100198;1;80.2;"2023-09-19 12:30:30"
100199;2;0.8;"2023-09-19 12:30:30"
100200;3;88.2;"2023-09-19 12:30:30"
100201;1;80.2;"2023-09-19 12:30:35"
100202;2;0.9;"2023-09-19 12:30:35"
100203;3;88.2;"2023-09-19 12:30:35"
100204;1;80.2;"2023-09-19 12:30:40"
100205;2;0.6;"2023-09-19 12:30:40"
100206;3;88.2;"2023-09-19 12:30:40"
100207;1;80.2;"2023-09-19 12:30:45"
100208;2;0.8;"2023-09-19 12:30:45"
100209;3;88.2;"2023-09-19 12:30:45"
100210;1;80.2;"2023-09-19 12:30:50"
100211;2;0.7;"2023-09-19 12:30:50"
100212;3;88.1;"2023-09-19 12:30:50"
100213;1;80.2;"2023-09-19 12:30:55"
100214;2;0.9;"2023-09-19 12:30:55"
100215;3;88.2;"2023-09-19 12:30:55"
100216;1;80.2;"2023-09-19 12:31:00"
100217;2;1.6;"2023-09-19 12:31:00"
100218;3;88.2;"2023-09-19 12:31:00"
100219;1;80.2;"2023-09-19 12:31:05"
100220;2;1.5;"2023-09-19 12:31:05"
100221;3;88.7;"2023-09-19 12:31:05"
100222;1;80.2;"2023-09-19 12:31:10"
100223;2;1.6;"2023-09-19 12:31:10"
100224;3;88.9;"2023-09-19 12:31:10"
100225;1;80.2;"2023-09-19 12:31:15"
100226;2;1.3;"2023-09-19 12:31:15"
100227;3;89.0;"2023-09-19 12:31:15"
100228;1;80.2;"2023-09-19 12:31:20"
100229;2;0.8;"2023-09-19 12:31:20"
100230;3;89.0;"2023-09-19 12:31:20"
100231;1;80.2;"2023-09-19 12:31:25"
100232;2;0.8;"2023-09-19 12:31:25"
100233;3;89.1;"2023-09-19 12:31:25"
100234;1;80.2;"2023-09-19 12:31:30"
100235;2;0.8;"2023-09-19 12:31:30"
100236;3;89.0;"2023-09-19 12:31:30"
100237;1;80.2;"2023-09-19 12:31:35"
100238;2;1.1;"2023-09-19 12:31:35"
100239;3;89.1;"2023-09-19 12:31:35"
100240;1;80.2;"2023-09-19 12:31:40"
100241;2;1.5;"2023-09-19 12:31:40"
100242;3;89.4;"2023-09-19 12:31:40"
100243;1;80.2;"2023-09-19 12:31:46"
100244;2;1.0;"2023-09-19 12:31:46"
100245;3;89.3;"2023-09-19 12:31:46"
100246;1;80.2;"2023-09-19 12:31:51"
100247;2;2.4;"2023-09-19 12:31:51"
100248;3;90.7;"2023-09-19 12:31:51"
100249;1;80.2;"2023-09-19 12:31:56"
100250;2;2.5;"2023-09-19 12:31:56"
100251;3;91.0;"2023-09-19 12:31:56"
100252;1;80.2;"2023-09-19 12:32:01"
100253;2;1.4;"2023-09-19 12:32:01"
100254;3;91.2;"2023-09-19 12:32:01"
100255;1;80.2;"2023-09-19 12:32:06"
100256;2;2.5;"2023-09-19 12:32:06"
100257;3;90.6;"2023-09-19 12:32:06"
100258;1;80.2;"2023-09-19 12:32:11"
100259;2;1.5;"2023-09-19 12:32:11"
100260;3;90.7;"2023-09-19 12:32:11"
100261;1;80.2;"2023-09-19 12:32:16"
100262;2;1.7;"2023-09-19 12:32:16"
100263;3;86.6;"2023-09-19 12:32:16"
100264;1;80.2;"2023-09-19 12:32:21"
100265;2;0.9;"2023-09-19 12:32:21"
100266;3;86.8;"2023-09-19 12:32:21"
100267;1;80.2;"2023-09-19 12:32:26"
100268;2;1.1;"2023-09-19 12:32:26"
100269;3;86.8;"2023-09-19 12:32:26"
100270;1;80.2;"2023-09-19 12:32:31"
100271;2;1.0;"2023-09-19 12:32:31"
100272;3;86.9;"2023-09-19 12:32:31"
100273;1;80.2;"2023-09-19 12:32:36"
100274;2;3.1;"2023-09-19 12:32:36"
100275;3;86.5;"2023-09-19 12:32:36"
100276;1;80.2;"2023-09-19 12:32:41"
100277;2;2.8;"2023-09-19 12:32:41"
100278;3;87.2;"2023-09-19 12:32:41"
100279;1;80.2;"2023-09-19 12:32:46"
100280;2;3.5;"2023-09-19 12:32:46"
100281;3;88.6;"2023-09-19 12:32:46"
100282;1;80.2;"2023-09-19 12:32:51"
100283;2;2.3;"2023-09-19 12:32:51"
100284;3;88.5;"2023-09-19 12:32:51"
100285;1;80.2;"2023-09-19 12:32:57"
100286;2;1.8;"2023-09-19 12:32:57"
100287;3;88.1;"2023-09-19 12:32:57"
100288;1;80.2;"2023-09-19 12:33:02"
100289;2;2.2;"2023-09-19 12:33:02"
100290;3;89.1;"2023-09-19 12:33:02"
100291;1;80.2;"2023-09-19 12:33:07"
100292;2;4.5;"2023-09-19 12:33:07"
100293;3;91.1;"2023-09-19 12:33:07"
100294;1;80.2;"2023-09-19 12:33:12"
100295;2;1.3;"2023-09-19 12:33:12"
100296;3;90.7;"2023-09-19 12:33:12"
100297;1;80.2;"2023-09-19 12:33:17"
100298;2;0.9;"2023-09-19 12:33:17"
100299;3;90.6;"2023-09-19 12:33:17"
100300;1;80.2;"2023-09-19 12:33:22"
100301;2;0.8;"2023-09-19 12:33:22"
100302;3;90.6;"2023-09-19 12:33:22"
100303;1;80.2;"2023-09-19 12:33:27"
100304;2;1.4;"2023-09-19 12:33:27"
100305;3;87.4;"2023-09-19 12:33:27"
100306;1;80.2;"2023-09-19 12:33:32"
100307;2;4.5;"2023-09-19 12:33:32"
100308;3;87.9;"2023-09-19 12:33:32"
100309;1;80.2;"2023-09-19 12:33:37"
100310;2;1.6;"2023-09-19 12:33:37"
100311;3;88.4;"2023-09-19 12:33:37"
100312;1;80.2;"2023-09-19 12:33:42"
100313;2;1.2;"2023-09-19 12:33:42"
100314;3;88.2;"2023-09-19 12:33:42"
100315;1;80.2;"2023-09-19 12:33:47"
100316;2;1.4;"2023-09-19 12:33:47"
100317;3;87.9;"2023-09-19 12:33:47"
100318;1;80.2;"2023-09-19 12:33:52"
100319;2;1.6;"2023-09-19 12:33:52"
100320;3;87.6;"2023-09-19 12:33:52"
100321;1;80.2;"2023-09-19 12:33:57"
100322;2;1.9;"2023-09-19 12:33:57"
100323;3;88.0;"2023-09-19 12:33:57"
100324;1;80.2;"2023-09-19 12:34:02"
100325;2;1.7;"2023-09-19 12:34:02"
100326;3;88.1;"2023-09-19 12:34:02"
100327;1;80.2;"2023-09-19 12:34:07"
100328;2;1.6;"2023-09-19 12:34:07"
100329;3;88.0;"2023-09-19 12:34:07"
100330;1;80.2;"2023-09-19 12:34:13"
100331;2;2.3;"2023-09-19 12:34:13"
100332;3;90.2;"2023-09-19 12:34:13"
100333;1;80.2;"2023-09-19 12:34:18"
100334;2;2.9;"2023-09-19 12:34:18"
100335;3;91.8;"2023-09-19 12:34:18"
100336;1;80.2;"2023-09-19 12:34:23"
100337;2;1.1;"2023-09-19 12:34:23"
100338;3;91.9;"2023-09-19 12:34:23"
100339;1;80.2;"2023-09-19 12:34:28"
100340;2;1.5;"2023-09-19 12:34:28"
100341;3;92.0;"2023-09-19 12:34:28"
100342;1;80.2;"2023-09-19 12:34:33"
100343;2;1.6;"2023-09-19 12:34:33"
100344;3;92.7;"2023-09-19 12:34:33"
100345;1;80.2;"2023-09-19 12:34:38"
100346;2;0.8;"2023-09-19 12:34:38"
100347;3;92.2;"2023-09-19 12:34:38"
100348;1;80.2;"2023-09-19 12:34:43"
100349;2;0.7;"2023-09-19 12:34:43"
100350;3;91.8;"2023-09-19 12:34:43"
100351;1;80.2;"2023-09-19 12:34:48"
100352;2;0.7;"2023-09-19 12:34:48"
100353;3;91.9;"2023-09-19 12:34:48"
100354;1;80.2;"2023-09-19 12:34:53"
100355;2;1.0;"2023-09-19 12:34:53"
100356;3;91.9;"2023-09-19 12:34:53"
100357;1;80.2;"2023-09-19 12:34:58"
100358;2;1.1;"2023-09-19 12:34:58"
100359;3;91.9;"2023-09-19 12:34:58"
